date,temperature,humidity,windspeed,count
03-01-2011,2.716069663,45.71534591,21.41495651,120
04-01-2011,2.896673297,54.26721902,15.13688189,108
05-01-2011,4.23565354,45.6977019,17.03457765,82
06-01-2011,3.112642659,50.23734941,10.09156767,88
07-01-2011,2.723917676,49.14492833,15.73820407,148
08-01-2011,1.967445413,48.85125234,17.03502942,113
09-01-2011,1.210973151,48.55757635,18.33185477,77
10-01-2011,0.454500889,48.26390036,19.62868011,41
11-01-2011,1.361393394,59.62346036,12.41459723,43
12-01-2011,1.541997029,54.77588021,25.43218813,25
13-01-2011,1.158189471,47.56595692,25.1734698,38
14-01-2011,0.953048379,51.32977049,12.7295959,54
15-01-2011,1.645921108,55.85022455,13.09030004,43
16-01-2011,2.338793837,60.37067861,13.45100418,32
17-01-2011,3.031666566,64.89113267,13.81170833,21
18-01-2011,3.724539295,69.41158674,14.17241247,9
19-01-2011,7.47504496,62.71534982,18.56227838,78
20-01-2011,5.959732786,51.35807907,17.67684395,83
21-01-2011,1.779076551,46.82144668,28.89995536,75
22-01-2011,0.452717701,47.4664581,24.26551848,79
23-01-2011,-0.87364115,48.11146951,19.6310816,83
24-01-2011,-2.2,48.75648093,14.99664471,86
25-01-2011,4.062848248,55.74808751,12.9612797,186
26-01-2011,3.76591521,69.45809769,24.66345158,34
27-01-2011,2.648318465,59.68688946,11.82290476,15
28-01-2011,3.069428918,65.57993306,12.49791209,38
29-01-2011,2.694495906,62.05684483,14.01707685,40
30-01-2011,2.319562895,58.53375661,15.53624161,41
31-01-2011,1.944629883,55.01066838,17.05540637,42
01-02-2011,2.507948313,67.6191563,7.498520915,47
02-02-2011,5.876931285,64.59577697,22.55618469,72
03-02-2011,2.248814881,45.74622293,23.51516161,61
04-02-2011,3.458153902,53.97586951,12.8216845,88
05-02-2011,4.457583418,56.82563774,10.86172372,99
06-02-2011,5.457012935,59.67540596,8.901762931,110
07-02-2011,6.456442451,62.52517419,6.941802146,120
08-02-2011,3.931468541,51.33485152,29.52110762,64
09-02-2011,-0.342718123,48.92644411,17.17288889,53
10-02-2011,0.132384671,45.7219345,19.53366693,47
11-02-2011,2.354812724,49.57307476,11.44577661,149
12-02-2011,6.095185512,47.1436546,18.80140441,169
13-02-2011,9.8355583,44.71423445,26.1570322,189
14-02-2011,13.57593109,42.28481429,33.51266,208
15-02-2011,6.179278458,38.85177008,24.48683548,140
16-02-2011,8.770811462,44.94509553,21.66333182,218
17-02-2011,14.61072633,49.49691517,20.11637166,259
18-02-2011,18.87418407,50.14834766,22.60019605,579
19-02-2011,14.65904376,51.0013881,21.36541698,453
20-02-2011,10.44390346,51.85442853,20.1306379,327
21-02-2011,6.228763158,52.70746897,18.89585883,201
22-02-2011,2.013622855,53.56050941,17.66107975,74
23-02-2011,3.976470437,44.9208071,10.41596779,139
24-02-2011,7.647800582,60.23915815,21.57095789,100
25-02-2011,11.05999729,61.06457398,28.4218222,120
26-02-2011,11.77070604,64.12044956,27.07002426,107
27-02-2011,12.48141478,67.17632514,25.71822632,94
28-02-2011,13.19212353,70.23220072,24.36642838,81
01-03-2011,6.208087619,51.17197943,19.14063191,137
02-03-2011,9.60225377,46.40268062,25.66087602,231
03-03-2011,2.813871796,39.07427445,19.80608086,123
04-03-2011,5.959732786,55.3829235,18.20769089,214
05-03-2011,5.960924889,54.28272267,21.48906965,224
06-03-2011,5.962116993,53.18252185,24.77044841,234
07-03-2011,5.963309096,52.08232103,28.05182716,244
08-03-2011,7.491237695,44.79741069,12.30888436,316
09-03-2011,7.656791027,64.59577697,19.4063407,191
10-03-2011,12.28900602,21.3,22.3827785,46
11-03-2011,8.684433652,57.56877069,20.32080694,247
12-03-2011,8.82839667,54.72845728,18.03716172,285
13-03-2011,8.972359687,51.88814386,15.75351651,322
14-03-2011,9.116322705,49.04783044,13.46987129,359
15-03-2011,8.727597722,57.90864123,16.84975846,289
16-03-2011,11.10316136,64.65747517,18.19135604,321
17-03-2011,13.57593109,54.96415743,18.65229838,424
18-03-2011,19.7848019,50.62574098,20.18149706,884
19-03-2011,17.97073542,54.57468638,21.55500347,723
20-03-2011,16.15666894,58.52363177,22.92850988,562
21-03-2011,14.34260246,62.47257717,24.30201629,401
22-03-2011,14.90050675,56.17388884,19.80579553,460
23-03-2011,10.19616952,68.17751105,20.41289554,203
24-03-2011,7.118705447,66.29406879,21.09239674,166
25-03-2011,6.083910202,48.93856041,20.16066835,300
26-03-2011,6.086907017,45.34971661,19.72029318,274
27-03-2011,6.089903832,41.7608728,19.279918,248
28-03-2011,6.092900647,38.172029,18.83954283,222
29-03-2011,7.98794736,38.84166386,19.89467423,317
30-03-2011,7.863769944,57.40695949,16.03508461,168
31-03-2011,6.290839449,72.57555979,19.22772733,179
01-04-2011,7.863769944,59.61709512,22.15672986,307
02-04-2011,12.38934137,54.77802057,25.17316069,450
03-04-2011,16.9149128,49.93894602,28.18959153,592
04-04-2011,21.44048422,45.09987147,31.20602236,734
05-04-2011,13.53455517,57.15100967,31.38406508,167
06-04-2011,12.37553284,47.58918447,22.46737732,413
07-04-2011,14.69352783,54.96415743,15.28068563,571
08-04-2011,9.643629685,67.99241645,19.8943889,172
09-04-2011,13.94544996,65.77213738,22.21222555,400
10-04-2011,18.24727024,63.5518583,24.5300622,628
11-04-2011,22.54909052,61.33157923,26.84789884,855
12-04-2011,17.92214065,62.57174098,23.31022701,257
13-04-2011,13.45175367,67.03857902,21.57958897,209
14-04-2011,16.18365683,51.47444021,11.59913873,529
15-04-2011,16.7424552,51.50351653,12.54190562,564
16-04-2011,17.30125357,51.53259285,13.48467252,599
17-04-2011,17.86005195,51.56166918,14.42743941,634
18-04-2011,18.41885032,51.5907455,15.37020631,669
19-04-2011,18.08769398,58.47710221,14.97103681,409
20-04-2011,22.51670505,55.59230653,20.95957801,613
21-04-2011,15.76974866,44.0296729,26.90382252,745
22-04-2011,9.685055271,62.03661378,19.36147336,177
23-04-2011,14.15544225,62.91293296,18.54858279,376
24-04-2011,18.62582924,63.78925213,17.73569221,575
25-04-2011,23.09621622,64.66557131,16.92280163,773
26-04-2011,24.33799038,62.01338622,26.99241589,678
27-04-2011,23.75847921,67.9459055,25.97237945,547
28-04-2011,23.6343018,60.43134386,26.59353171,569
29-04-2011,18.2946729,46.82144668,20.82675927,878
30-04-2011,18.94316048,51.90093018,19.48076294,868
01-05-2011,19.59164806,56.98041368,18.13476661,858
02-05-2011,20.24013565,62.05989717,16.78877027,847
03-05-2011,23.59292588,60.22196082,28.14562772,603
04-05-2011,13.53455517,62.45537985,27.17045862,255
05-05-2011,15.76974866,46.10027568,24.77344432,614
06-05-2011,16.76316799,54.24293059,19.98383825,894
07-05-2011,17.64620188,54.21966581,18.74158129,818
08-05-2011,18.52923576,54.19640103,17.49932433,741
09-05-2011,19.41226965,54.17313625,16.25706736,664
10-05-2011,19.41226965,48.61287208,11.95372622,694
11-05-2011,19.90897931,56.6392217,12.30831371,550
12-05-2011,19.53644706,63.03701799,17.23195114,695
13-05-2011,18.41885032,69.50460864,16.52277615,692
14-05-2011,19.49505459,68.10097923,15.26606273,719
15-05-2011,20.57125887,66.69734982,14.0093493,746
16-05-2011,21.64746314,65.29372041,12.75263588,773
17-05-2011,20.86102273,68.08549419,23.48677178,678
18-05-2011,20.28151156,69.87686375,18.07544281,536
19-05-2011,19.32946815,67.62016134,11.42173799,735
20-05-2011,19.61924856,61.47825902,12.62010247,909
21-05-2011,21.1921625,63.16108442,15.20773757,885
22-05-2011,22.76507644,64.84390982,17.79537266,861
23-05-2011,24.33799038,66.52673522,20.38300776,836
24-05-2011,25.74531787,62.66476288,18.47489764,659
25-05-2011,25.78669379,60.17544987,14.70440071,740
26-05-2011,28.14606469,59.1285347,17.94348005,758
27-05-2011,26.8215387,57.80244216,20.87069931,871
